,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,pre_¿Cuál es tu sexo?,pre_Curso,pre_Pregunta 17,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,pre sum,post sum,difference
4602,1.0,1.0,0.0,0,1.0,1.0,1,1.0,1,1,0.5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,Chico,4º ESO,Sí,5.0,3.0,De reconocimiento de textos,10.75,13.25,2.5
2304,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,0,0.5,0.75,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.75,0.75,Chico,5º Primaria,Sí,5.0,5.0,De reconocimiento de imágenes,10.25,12.0,1.75
2303,1.0,1.0,0.0,0,0.0,1.0,1,1.0,1,0,0.0,1.0,0.25,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.75,Chico,5º Primaria,Sí,5.0,5.0,De reconocimiento de imágenes,8.0,11.25,3.25
2302,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.75,Chico,5º Primaria,Sí,4.0,4.0,He hecho proyectos de los dos tipos,3.75,12.5,8.75
2305,0.0,1.0,1.0,0,0.0,1.0,0,1.0,1,1,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,Chico,5º Primaria,Sí,4.0,3.0,De reconocimiento de imágenes,8.5,12.25,3.75
2306,1.0,0.0,1.0,1,0.0,1.0,1,1.0,1,0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.75,Chico,5º Primaria,Sí,5.0,5.0,De reconocimiento de imágenes,9.75,12.25,2.5
3312,1.0,1.0,0.0,0,0.0,1.0,1,1.0,1,1,0.25,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,Chica,4º ESO,Sí,5.0,3.0,De reconocimiento de imágenes,9.0,12.0,3.0
2301,1.0,1.0,0.0,0,0.0,1.0,1,0.0,1,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,Chico,5º Primaria,Sí,5.0,4.0,De reconocimiento de imágenes,8.5,13.25,4.75
1024,1.0,0.0,0.0,1,1.0,1.0,1,1.0,0,1,0.25,1.0,0.75,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Chico,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,9.5,12.0,2.5
1025,1.0,1.0,1.0,1,1.0,1.0,1,0.0,0,1,0.25,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,Chico,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,10.75,13.75,3.0
1020,0.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.25,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,Chica,4º ESO,No,5.0,4.0,De reconocimiento de textos,11.0,13.5,2.5
5805,1.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,Chico,5º Primaria,No,3.0,3.0,De reconocimiento de textos,4.5,4.5,0.0
5120,1.0,1.0,0.0,0,1.0,1.0,1,1.0,1,1,0.5,1.0,0.5,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Chico,6º Primaria,Sí,4.0,3.0,De reconocimiento de textos,10.25,12.5,2.25
5155,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.75,0.25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,0.75,1.0,Chico,6º Primaria,Sí,5.0,4.0,He hecho proyectos de los dos tipos,12.0,10.0,-2.0
5122,0.0,1.0,0.0,1,0.0,0.0,1,1.0,1,0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,Chica,6º Primaria,Sí,5.0,2.0,De reconocimiento de textos,8.5,10.0,1.5
5822,1.0,1.0,0.0,0,1.0,1.0,0,0.0,1,1,0.75,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,0.5,0.75,0.5,Chica,5º Primaria,Sí,5.0,4.0,De reconocimiento de textos,9.5,8.5,-1.0
5127,0.0,1.0,0.0,1,0.0,1.0,1,1.0,0,1,0.0,1.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,Chica,6º Primaria,Sí,4.0,5.0,De reconocimiento de textos,8.75,9.25,0.5
3129,1.0,1.0,1.0,0,1.0,0.0,0,1.0,1,1,0.25,1.0,0.75,0.75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.25,Chica,4º ESO,Sí,1.0,3.0,De reconocimiento de imágenes,9.75,9.75,0.0
3103,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.25,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.25,1.0,Chica,4º ESO,Sí,4.0,3.0,De reconocimiento de imágenes,12.75,11.75,-1.0
5172,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,Chico,6º Primaria,Sí,5.0,5.0,De reconocimiento de textos,9.5,11.5,2.0
800,1.0,0.0,1.0,1,1.0,1.0,0,1.0,1,1,0.75,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,Chico,2º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,11.0,13.5,2.5
4107,0.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,1.0,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,Chico,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,10.75,11.75,1.0
1016,0.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,1.0,Chica,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,11.25,12.75,1.5
1022,1.0,1.0,1.0,0,1.0,1.0,1,0.0,0,1,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.75,1.0,0.75,Chica,4º ESO,Sí,4.0,4.0,De reconocimiento de textos,10.25,10.25,0.0
3137,1.0,1.0,1.0,0,0.0,1.0,1,1.0,1,1,0.5,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.5,Chica,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,10.75,12.75,2.0
5864,1.0,1.0,1.0,0,0.0,1.0,1,1.0,1,1,0.75,0.75,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.5,Chico,5º Primaria,No,5.0,3.0,De reconocimiento de textos,11.25,11.25,0.0
4123,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,Chico,4º ESO,Sí,4.0,4.0,He hecho proyectos de los dos tipos,12.75,11.5,-1.25
5151,1.0,1.0,1.0,0,0.0,0.0,1,0.0,0,0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.25,Chico,6º Primaria,"No, pero he programado en otro lenguage",5.0,3.0,De reconocimiento de imágenes,6.0,7.75,1.75
1029,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Chico,4º ESO,Sí,2.0,4.0,De reconocimiento de textos,14.0,14.0,0.0
3601,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.75,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,Chico,2º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,12.5,13.25,0.75
5123,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,0,0.25,0.5,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.5,1.0,0.5,Chico,6º Primaria,No,5.0,3.0,De reconocimiento de imágenes,10.25,8.75,-1.5
5153,1.0,1.0,0.0,0,0.0,1.0,0,0.0,0,1,0.5,0.25,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.5,1.0,0.25,Chica,6º Primaria,Sí,4.0,3.0,De reconocimiento de textos,5.5,5.5,0.0
4501,1.0,1.0,1.0,0,0.0,1.0,1,0.0,0,1,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,Chico,2º ESO,Sí,4.0,5.0,De reconocimiento de imágenes,9.25,13.25,4.0
3627,1.0,1.0,0.0,1,1.0,1.0,1,1.0,1,1,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,Chica,2º ESO,No,5.0,4.0,De reconocimiento de textos,12.5,13.75,1.25
3139,1.0,1.0,1.0,1,0.0,0.0,1,1.0,0,0,0.5,0.75,1.0,0.25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.75,0.75,0.25,Chico,4º ESO,No,4.0,2.0,He hecho proyectos de los dos tipos,8.5,7.5,-1.0
4109,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,Chico,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,13.0,13.25,0.25
4103,1.0,1.0,1.0,0,1.0,1.0,1,0.0,1,1,0.25,1.0,1.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,Chico,2º ESO,Sí,5.0,3.0,De reconocimiento de textos,11.0,10.5,-0.5
4111,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.75,0.75,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,Chico,4º ESO,Sí,5.0,4.0,He hecho proyectos de los dos tipos,11.75,11.75,0.0
1013,0.0,0.0,0.0,1,0.0,1.0,0,1.0,1,1,0.25,0.5,0.75,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,1.0,No quiero responder,4º ESO,Sí,1.0,5.0,De reconocimiento de textos,7.0,12.0,5.0
1006,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.5,0.75,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,1.0,No quiero responder,4º ESO,Sí,1.0,5.0,De reconocimiento de textos,11.75,12.0,0.25
1033,1.0,1.0,1.0,0,0.0,1.0,1,1.0,1,0,0.25,0.75,0.5,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,Chica,4º ESO,No,2.0,4.0,De reconocimiento de textos,9.25,11.5,2.25
1011,1.0,1.0,0.0,0,1.0,1.0,1,1.0,1,1,0.25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.25,1.0,1.0,Chica,4º ESO,No,5.0,4.0,De reconocimiento de textos,11.25,9.75,-1.5
5152,1.0,1.0,0.0,0,1.0,1.0,1,1.0,1,1,0.25,0.25,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.75,0.75,Chica,6º Primaria,Sí,5.0,4.0,De reconocimiento de textos,10.25,11.25,1.0
5119,0.0,1.0,0.0,1,0.0,1.0,0,0.0,0,1,0.0,0.5,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,Chico,6º Primaria,Sí,1.0,3.0,De reconocimiento de textos,5.25,5.0,-0.25
4302,0.0,1.0,0.0,1,0.0,1.0,1,1.0,1,0,0.75,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,Chico,3º ESO,Sí,4.0,5.0,De reconocimiento de textos,8.75,12.25,3.5
5161,1.0,1.0,0.0,1,0.0,0.0,1,1.0,1,0,0.5,0.75,0.25,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,0.25,Chica,6º Primaria,Sí,5.0,2.0,De reconocimiento de imágenes,8.0,8.75,0.75
5175,1.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.25,0.5,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,Chico,6º Primaria,Sí,4.0,3.0,De reconocimiento de imágenes,11.5,12.5,1.0
3303,1.0,1.0,1.0,0,0.0,1.0,1,1.0,1,1,0.25,0.25,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,1.0,Chico,4º ESO,No,4.0,3.0,De reconocimiento de imágenes,10.25,12.25,2.0
200,1.0,1.0,0.0,1,1.0,1.0,1,0.0,1,1,0.25,0.75,0.75,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,Chica,4º ESO,No,5.0,4.0,De reconocimiento de textos,10.25,10.75,0.5
201,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,Chica,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,12.75,13.25,0.5
214,0.0,1.0,1.0,1,1.0,1.0,0,1.0,1,1,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.75,Chica,4º ESO,Sí,5.0,4.0,De reconocimiento de imágenes,11.25,11.25,0.0
207,1.0,1.0,0.0,0,0.0,1.0,1,1.0,1,0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.75,0.75,0.5,Chico,4º ESO,Sí,4.0,4.0,De reconocimiento de textos,8.75,10.5,1.75
208,1.0,0.0,0.0,1,0.0,1.0,1,1.0,1,0,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,Chico,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,8.75,12.25,3.5
205,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.0,1.0,0.75,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.75,Chica,4º ESO,No,5.0,4.0,De reconocimiento de textos,11.5,12.0,0.5
5156,1.0,1.0,1.0,1,1.0,1.0,1,0.0,0,1,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.5,Chico,6º Primaria,Sí,5.0,3.0,De reconocimiento de textos,11.5,11.25,-0.25
209,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,Chico,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,13.5,13.75,0.25
219,0.0,0.0,0.0,1,0.0,1.0,1,0.0,1,1,0.75,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,Chico,4º ESO,Sí,5.0,3.0,De reconocimiento de textos,7.25,10.75,3.5
210,0.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.75,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,Chico,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,12.0,12.5,0.5
3100,1.0,1.0,1.0,1,1.0,1.0,0,0.0,1,1,0.5,0.0,0.25,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25,1.0,0.25,0.25,Chico,4º ESO,Sí,5.0,2.0,De reconocimiento de textos,9.5,8.75,-0.75
5107,0.0,1.0,0.0,0,1.0,1.0,1,1.0,1,1,0.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,Chico,6º Primaria,Sí,5.0,3.0,De reconocimiento de textos,9.25,8.75,-0.5
5124,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0,0.25,1.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75,0.5,0.25,1.0,Chica,6º Primaria,Sí,3.0,2.0,De reconocimiento de textos,3.5,5.5,2.0
222,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,Chico,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,13.5,12.5,-1.0
5117,1.0,1.0,0.0,0,0.0,0.0,1,0.0,1,1,0.25,0.25,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.25,1.0,0.25,Chico,6º Primaria,Sí,5.0,4.0,De reconocimiento de textos,6.5,10.0,3.5
5104,1.0,1.0,1.0,0,0.0,1.0,1,0.0,1,0,0.25,0.5,0.75,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,Chico,6º Primaria,Sí,4.0,3.0,De reconocimiento de textos,8.0,8.75,0.75
5111,1.0,0.0,0.0,0,0.0,1.0,1,1.0,1,1,0.5,0.25,0.75,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.75,0.5,Chica,6º Primaria,Sí,5.0,3.0,He hecho proyectos de los dos tipos,8.0,7.25,-0.75
5823,0.0,0.0,1.0,0,1.0,0.0,0,0.0,1,1,0.25,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,Chico,5º Primaria,No,4.0,3.0,De reconocimiento de textos,5.0,8.5,3.5
